id;placed_date;status;code
1;2020-11-06T10:52:07;COMPLETED;Georgia calculate withdrawal
2;2020-11-05T21:48:37;COMPLETED;compress Steel out-of-the-box
3;2020-11-05T23:19:49;PENDING;Concrete
4;2020-11-06T12:45:44;CANCELLED;Investment Account
5;2020-11-06T00:02:34;PENDING;United States of America
6;2020-11-06T14:14:38;CANCELLED;IB Industrial Credit Card Account
7;2020-11-06T17:21:03;CANCELLED;Cotton Egyptian Pound
8;2020-11-06T02:17:07;COMPLETED;Home Loan Account
9;2020-11-06T11:11:23;COMPLETED;Human
10;2020-11-05T21:20:01;CANCELLED;payment
