id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2020-11-05T20:18:17;payment unleash Jamaican Dollar;1
2;Rest;2020-11-06T15:34:47;Plains;2
3;Quality Plastic plum;2020-11-05T19:55:09;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2020-11-06T16:22:21;Architect SSL;4
5;zero tolerance;2020-11-06T13:18:40;user-facing CSS;5
6;ADP Ouguiya;2020-11-06T09:15:08;Garden;6
7;auxiliary;2020-11-06T17:31:08;functionalities Bedfordshire withdrawal;7
8;Data;2020-11-05T20:29:09;Viaduct hybrid;8
9;mesh;2020-11-06T18:54:48;human-resource Shoes Wooden;9
10;calculate value-added Metal;2020-11-06T16:53:42;Re-engineered withdrawal Ball;10
